model,k,thinking,trial,a1,correct,completion,wall,finish,note
LongCat-2.0,11,0,3,5,0,4,1.3,stop,得到 894 期望 742
LongCat-2.0,12,0,1,3,0,4,2.3,stop,得到 497 期望 803
LongCat-2.0,12,0,2,7,0,4,2.0,stop,得到 431 期望 607
LongCat-2.0,12,0,3,5,0,4,1.8,stop,得到 699 期望 205
LongCat-2.0,13,0,1,3,0,4,1.3,stop,得到 709 期望 632
LongCat-2.0,13,0,2,4,0,4,2.1,stop,得到 141 期望 39
LongCat-2.0,13,0,3,5,0,4,1.7,stop,得到 491 期望 446
LongCat-2.0,14,0,1,3,0,4,2.2,stop,得到 746 期望 435
LongCat-2.0,14,0,2,4,0,4,1.3,stop,得到 619 期望 284
LongCat-2.0,14,0,3,5,0,4,1.8,stop,得到 892 期望 133
LongCat-2.0,15,0,1,3,0,4,1.4,stop,得到 187 期望 56
LongCat-2.0,15,0,2,4,0,4,3.5,stop,得到 289 期望 999
LongCat-2.0,15,0,3,5,0,4,2.2,stop,得到 533 期望 942
Qwen3.6-35B,1,1,1,3,1,940,8.7,stop,得到 32 期望 32
Qwen3.6-35B,1,1,2,4,1,959,8.4,stop,得到 39 期望 39
Qwen3.6-35B,1,1,3,5,0,16384,98.8,length,content空(finish=length)
Qwen3.6-35B,3,1,1,3,1,1374,11.6,stop,得到 656 期望 656
Qwen3.6-35B,3,1,2,4,1,1130,10.1,stop,得到 999 期望 999
Qwen3.6-35B,3,1,3,5,1,942,8.8,stop,得到 342 期望 342
Qwen3.6-35B,5,1,1,3,1,1330,12.7,stop,得到 232 期望 232
Qwen3.6-35B,5,1,2,4,1,1524,19.1,stop,得到 39 期望 39
Qwen3.6-35B,5,1,3,5,1,1692,22.5,stop,得到 846 期望 846
Qwen3.6-35B,7,1,1,3,1,1779,24.3,stop,得到 456 期望 456
Qwen3.6-35B,7,1,2,4,1,1785,17.5,stop,得到 999 期望 999
Qwen3.6-35B,7,1,3,5,1,1551,15.6,stop,得到 542 期望 542
Qwen3.6-35B,9,1,1,3,1,14401,120.4,stop,得到 432 期望 432
Qwen3.6-35B,9,1,2,4,1,8819,77.1,stop,得到 39 期望 39
Qwen3.6-35B,9,1,3,5,1,3044,27.1,stop,得到 646 期望 646
Qwen3.6-35B,12,1,1,3,1,6558,151.0,stop,得到 803 期望 803
Qwen3.6-35B,12,1,2,7,1,2883,30.3,stop,得到 607 期望 607
Qwen3.6-35B,12,1,3,5,1,9147,71.7,stop,得到 205 期望 205
Qwen3.6-35B,15,1,1,3,1,12528,115.1,stop,得到 56 期望 56
Qwen3.6-35B,15,1,2,4,1,14624,130.5,stop,得到 999 期望 999
Qwen3.6-35B,15,1,3,5,1,4266,39.3,stop,得到 942 期望 942
GLM-5.2,1,1,1,3,1,81,2.2,stop,得到 32 期望 32
GLM-5.2,1,1,2,4,1,56,2.3,stop,得到 39 期望 39
GLM-5.2,1,1,3,5,1,162,5.6,stop,得到 46 期望 46
GLM-5.2,3,1,1,3,1,157,4.0,stop,得到 656 期望 656
GLM-5.2,3,1,2,4,1,142,3.4,stop,得到 999 期望 999
GLM-5.2,3,1,3,5,1,204,4.8,stop,得到 342 期望 342
GLM-5.2,5,1,1,3,1,143,3.5,stop,得到 232 期望 232
GLM-5.2,5,1,2,4,1,241,6.8,stop,得到 39 期望 39
GLM-5.2,5,1,3,5,1,154,3.2,stop,得到 846 期望 846
GLM-5.2,7,1,1,3,1,310,7.1,stop,得到 456 期望 456
GLM-5.2,7,1,2,4,1,263,6.3,stop,得到 999 期望 999
GLM-5.2,7,1,3,5,1,228,4.6,stop,得到 542 期望 542
GLM-5.2,9,1,1,3,1,277,5.4,stop,得到 432 期望 432
GLM-5.2,9,1,2,4,1,575,14.2,stop,得到 39 期望 39
GLM-5.2,9,1,3,5,1,1256,22.1,stop,得到 646 期望 646
GLM-5.2,12,1,1,3,1,960,18.5,stop,得到 803 期望 803
GLM-5.2,12,1,2,7,1,797,14.5,stop,得到 607 期望 607
GLM-5.2,12,1,3,5,1,678,13.1,stop,得到 205 期望 205
GLM-5.2,15,1,1,3,1,887,14.0,stop,得到 56 期望 56
GLM-5.2,15,1,2,4,1,380,8.0,stop,得到 999 期望 999
GLM-5.2,15,1,3,5,1,828,15.2,stop,得到 942 期望 942
LongCat-2.0,1,1,1,3,1,195,5.9,stop,得到 32 期望 32
LongCat-2.0,1,1,2,4,1,147,4.0,stop,得到 39 期望 39
LongCat-2.0,1,1,3,5,1,135,4.7,stop,得到 46 期望 46
LongCat-2.0,3,1,1,3,1,260,6.2,stop,得到 656 期望 656
LongCat-2.0,3,1,2,4,1,185,4.9,stop,得到 999 期望 999
LongCat-2.0,3,1,3,5,1,259,7.1,stop,得到 342 期望 342
LongCat-2.0,5,1,1,3,1,489,14.5,stop,得到 232 期望 232
LongCat-2.0,5,1,2,4,1,715,15.9,stop,得到 39 期望 39
LongCat-2.0,5,1,3,5,1,381,9.0,stop,得到 846 期望 846
LongCat-2.0,7,1,1,3,1,353,8.5,stop,得到 456 期望 456
LongCat-2.0,7,1,2,4,1,398,11.3,stop,得到 999 期望 999
LongCat-2.0,7,1,3,5,1,477,10.0,stop,得到 542 期望 542
LongCat-2.0,9,1,1,3,1,551,11.7,stop,得到 432 期望 432
LongCat-2.0,9,1,2,4,1,488,11.8,stop,得到 39 期望 39
LongCat-2.0,9,1,3,5,1,490,10.9,stop,得到 646 期望 646
LongCat-2.0,12,1,1,3,1,1044,20.8,stop,得到 803 期望 803
LongCat-2.0,12,1,2,7,1,1269,25.6,stop,得到 607 期望 607
LongCat-2.0,12,1,3,5,1,1077,27.6,stop,得到 205 期望 205
LongCat-2.0,15,1,1,3,1,919,19.2,stop,得到 56 期望 56
LongCat-2.0,15,1,2,4,1,551,12.6,stop,得到 999 期望 999
LongCat-2.0,15,1,3,5,1,1586,31.1,stop,得到 942 期望 942
