task,depth,type,model,thinking,trial,correct,strict,completion,reasoning_chars,wall,finish,failmode,note
d-recur-11,deep,递推,Qwen3.6-35B,1,2,1,1,3990,6879,44.5,stop,,得到 256 期望 256
d-recur-11,deep,递推,Qwen3.6-35B,1,3,0,0,4096,8408,45.5,length,truncated_empty,"content 空 (finish=length, reasoning 8408字)"
d-recur-11,deep,递推,Qwen3.6-35B,1,4,0,0,4096,7594,71.6,length,truncated_empty,"content 空 (finish=length, reasoning 7594字)"
d-recur-11,deep,递推,Qwen3.6-35B,1,5,1,1,3839,7270,56.6,stop,,得到 256 期望 256
d-statemachine,deep,状态跟踪,Qwen3.6-35B,0,1,0,0,5,0,0.4,stop,wrong,"得到 (23, 6) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,0,2,0,0,6,0,0.6,stop,wrong,"得到 (42, 20) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,0,3,0,0,6,0,0.5,stop,wrong,"得到 (22, 28) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,0,4,0,0,5,0,1.6,stop,wrong,"得到 (32, 2) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,0,5,0,0,5,0,1.5,stop,wrong,"得到 (24, 2) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,1,1,1,1185,2604,28.0,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,2,1,1,1232,2857,30.5,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,3,1,1,1360,3191,12.1,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,4,1,1,1103,2425,12.5,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,Qwen3.6-35B,1,5,1,1,2369,5696,24.2,stop,,"得到 (8, 17) 期望 (8, 17)"
d-seat-csp,deep,约束满足,Qwen3.6-35B,0,1,0,0,10,0,2.3,stop,wrong,得到 戊甲丙丁乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,0,2,0,0,10,0,0.5,stop,wrong,得到 戊甲丙丁乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,0,3,0,0,10,0,0.6,stop,wrong,得到 戊丙丁甲乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,0,4,0,0,10,0,0.6,stop,wrong,得到 戊甲丙丁乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,0,5,0,0,10,0,0.6,stop,wrong,得到 丙丁戊甲乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,1,1,1,2432,5713,25.2,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,2,1,1,2677,6567,29.5,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,3,1,1,1573,3710,20.0,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,4,1,1,1778,4293,38.5,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,Qwen3.6-35B,1,5,0,0,4096,9994,39.6,length,truncated_empty,"content 空 (finish=length, reasoning 9994字)"
d-multihop,deep,多跳算术,Qwen3.6-35B,0,1,1,0,2858,0,63.8,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,0,2,0,0,5,0,0.5,stop,wrong,"得到 (42, 6) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,0,3,0,0,5,0,0.5,stop,wrong,"得到 (69, 1) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,0,4,1,0,2913,0,31.9,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,0,5,0,0,5,0,0.6,stop,wrong,"得到 (30, 0) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,1,0,0,4096,9753,44.5,length,truncated_empty,"content 空 (finish=length, reasoning 9753字)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,2,1,1,3681,8706,41.0,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,3,0,0,4096,10228,48.0,length,truncated_empty,"content 空 (finish=length, reasoning 10228字)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,4,0,0,4096,9510,46.0,length,truncated_empty,"content 空 (finish=length, reasoning 9510字)"
d-multihop,deep,多跳算术,Qwen3.6-35B,1,5,0,0,4096,10708,60.8,length,truncated_empty,"content 空 (finish=length, reasoning 10708字)"
s-extract-amounts,shallow,抽取,GLM-5.2,0,1,1,1,10,0,1.2,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,0,2,1,1,10,0,1.0,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,0,3,1,1,10,0,1.0,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,0,4,1,1,10,0,0.9,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,0,5,1,1,10,0,1.0,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,1,1,1,1,389,635,7.7,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,1,2,1,1,553,921,11.4,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,1,3,1,1,546,893,10.8,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,1,4,1,1,414,666,8.4,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,GLM-5.2,1,5,1,1,447,743,8.3,stop,,"得到 '12,45,89,256,1200'"
s-senti-pos,shallow,分类,GLM-5.2,0,1,1,1,1,0,0.9,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,0,2,1,1,1,0,1.1,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,0,3,1,1,1,0,0.9,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,0,4,1,1,1,0,1.2,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,0,5,1,1,1,0,0.9,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,1,1,1,1,177,317,3.7,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,1,2,1,1,142,241,3.2,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,1,3,1,1,331,694,6.7,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,1,4,1,1,219,369,4.6,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,GLM-5.2,1,5,1,1,208,363,5.1,stop,,得到 '正面' 期望 '正面'
s-senti-neg,shallow,分类,GLM-5.2,0,1,1,1,1,0,1.3,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,0,2,1,1,1,0,1.0,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,0,3,1,1,1,0,0.9,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,0,4,1,1,1,0,0.9,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,0,5,1,1,1,0,0.9,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,1,1,1,1,205,345,4.7,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,1,2,1,1,211,355,4.6,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,1,3,1,1,214,362,4.5,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,1,4,1,1,240,414,5.0,stop,,得到 '负面' 期望 '负面'
s-senti-neg,shallow,分类,GLM-5.2,1,5,1,1,229,790,5.3,stop,,得到 '负面' 期望 '负面'
s-senti-neu,shallow,分类,GLM-5.2,0,1,1,1,1,0,0.9,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,0,2,1,1,1,0,0.9,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,0,3,1,1,1,0,1.1,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,0,4,1,1,1,0,1.1,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,0,5,1,1,1,0,1.0,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,1,1,1,1,243,843,5.1,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,1,2,1,1,247,424,5.1,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,1,3,1,1,256,959,5.7,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,1,4,1,1,229,391,4.7,stop,,得到 '中性' 期望 '中性'
s-senti-neu,shallow,分类,GLM-5.2,1,5,1,1,150,258,3.5,stop,,得到 '中性' 期望 '中性'
s-date-norm,shallow,格式,GLM-5.2,0,1,1,1,6,0,0.9,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,0,2,1,1,6,0,1.0,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,0,3,1,1,6,0,0.9,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,0,4,1,1,6,0,1.8,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,0,5,1,1,6,0,1.2,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,1,1,1,1,193,339,5.1,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,1,2,1,1,173,317,6.1,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,1,3,1,1,192,327,4.0,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,1,4,1,1,172,270,4.6,stop,,得到 '2026-03-07'
s-date-norm,shallow,格式,GLM-5.2,1,5,1,1,210,376,4.2,stop,,得到 '2026-03-07'
s-json-extract,shallow,结构化,GLM-5.2,0,1,1,1,19,0,1.7,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,0,2,1,1,19,0,1.3,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,0,3,1,1,14,0,1.8,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,0,4,1,1,19,0,2.2,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,0,5,1,1,19,0,1.9,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,1,1,1,1,297,539,6.4,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,1,2,1,1,253,482,5.5,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,1,3,1,1,846,1618,15.5,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,1,4,1,1,235,447,4.8,stop,,name=王芳 age=29 city=成都
s-json-extract,shallow,结构化,GLM-5.2,1,5,1,1,300,569,6.1,stop,,name=王芳 age=29 city=成都
d-recur-11,deep,递推,GLM-5.2,0,1,0,0,2,0,0.9,stop,wrong,得到 518 期望 256
d-recur-11,deep,递推,GLM-5.2,0,2,0,0,2,0,1.0,stop,wrong,得到 858 期望 256
d-recur-11,deep,递推,GLM-5.2,0,3,0,0,2,0,0.9,stop,wrong,得到 268 期望 256
d-recur-11,deep,递推,GLM-5.2,0,4,0,0,2,0,0.9,stop,wrong,得到 762 期望 256
d-recur-11,deep,递推,GLM-5.2,0,5,0,0,2,0,0.9,stop,wrong,得到 354 期望 256
d-recur-11,deep,递推,GLM-5.2,1,1,1,1,325,648,10.5,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,2,1,1,328,672,6.6,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,3,1,1,350,778,6.2,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,4,1,1,408,1031,8.3,stop,,得到 256 期望 256
d-recur-11,deep,递推,GLM-5.2,1,5,1,1,348,733,7.3,stop,,得到 256 期望 256
d-statemachine,deep,状态跟踪,GLM-5.2,0,1,0,0,3,0,1.2,stop,wrong,"得到 (13, 5) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,0,2,0,0,3,0,0.9,stop,wrong,"得到 (15, 9) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,0,3,0,0,3,0,1.2,stop,wrong,"得到 (26, 13) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,0,4,0,0,3,0,0.9,stop,wrong,"得到 (19, 15) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,0,5,0,0,3,0,0.8,stop,wrong,"得到 (15, 11) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,1,1,1,189,461,4.2,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,2,1,1,182,458,3.9,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,3,1,1,165,391,4.2,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,4,1,1,173,446,4.3,stop,,"得到 (8, 17) 期望 (8, 17)"
d-statemachine,deep,状态跟踪,GLM-5.2,1,5,1,1,351,895,7.0,stop,,"得到 (8, 17) 期望 (8, 17)"
d-seat-csp,deep,约束满足,GLM-5.2,0,1,0,0,9,0,0.9,stop,wrong,得到 甲丙丁戊乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,0,2,0,0,9,0,1.1,stop,wrong,得到 丁甲戊乙丙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,0,3,1,1,9,0,0.9,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,0,4,1,1,9,0,1.1,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,0,5,0,0,9,0,1.6,stop,wrong,得到 丙甲戊丁乙 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,1,1,1,430,1116,9.1,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,2,1,1,415,1087,9.6,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,3,1,1,340,829,7.9,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,4,1,1,386,1110,9.8,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-seat-csp,deep,约束满足,GLM-5.2,1,5,1,1,383,929,8.2,stop,,得到 甲乙戊丙丁 期望 甲乙戊丙丁
d-multihop,deep,多跳算术,GLM-5.2,0,1,0,0,3,0,1.0,stop,wrong,"得到 (82, 1) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,0,2,0,0,3,0,4.7,stop,wrong,"得到 (145, 3) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,0,3,0,0,3,0,1.0,stop,wrong,"得到 (122, 2) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,0,4,0,0,3,0,1.0,stop,wrong,"得到 (66, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,0,5,0,0,3,0,0.9,stop,wrong,"得到 (95, 2) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,1,0,0,10487,35177,220.3,stop,wrong,"得到 (4, 5) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,2,1,1,10867,36701,244.4,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,3,1,1,12061,42704,251.9,stop,,"得到 (74, 4) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,4,0,0,8493,27858,178.0,stop,wrong,"得到 (4, 5) 期望 (74, 4)"
d-multihop,deep,多跳算术,GLM-5.2,1,5,0,0,0,0,0.0,ERROR,api_error,TimeoutError: The read operation timed out
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,0,1,1,1,10,0,2.1,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,0,2,1,1,10,0,1.9,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,0,3,1,1,10,0,1.4,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,0,4,1,1,10,0,1.3,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,0,5,1,1,10,0,1.6,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,1,1,1,1,107,142,5.9,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,1,2,1,1,127,174,4.5,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,1,3,1,1,145,215,5.1,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,1,4,1,1,160,232,5.7,stop,,"得到 '12,45,89,256,1200'"
s-extract-amounts,shallow,抽取,DeepSeek-V4-Pro,1,5,1,1,156,226,5.9,stop,,"得到 '12,45,89,256,1200'"
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,0,1,1,1,1,0,2.7,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,0,2,1,1,1,0,2.8,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,0,3,1,1,1,0,3.0,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,0,4,1,1,1,0,2.5,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,0,5,1,1,1,0,3.6,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,1,1,1,1,20,30,3.0,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,1,2,1,1,35,52,5.0,stop,,得到 '正面' 期望 '正面'
s-senti-pos,shallow,分类,DeepSeek-V4-Pro,1,3,1,1,30,46,3.4,stop,,得到 '正面' 期望 '正面'
